Grid-cell,Longitude,Latitude
1070,38.75,39.75
1071,39.25,39.75
1072,39.75,39.75
1073,40.25,39.75
1074,40.75,39.75
1075,41.25,39.75
1076,41.75,39.75
1077,42.25,39.75
1078,42.75,39.75
1079,43.25,39.75
1080,43.75,39.75
1081,44.25,39.75
1082,44.75,39.75
1083,0.25,40.25
1084,9.25,40.25
1085,9.75,40.25
1086,15.75,40.25
1087,16.25,40.25
1088,16.75,40.25
1089,20.25,40.25
1090,20.75,40.25
1091,21.25,40.25
1092,21.75,40.25
1093,22.25,40.25
1094,23.75,40.25
1095,26.75,40.25
1096,27.25,40.25
1097,27.75,40.25
1098,28.25,40.25
1099,28.75,40.25
1100,29.25,40.25
1101,29.75,40.25
1102,30.25,40.25
1103,30.75,40.25
1104,31.25,40.25
1105,31.75,40.25
1106,32.25,40.25
1107,32.75,40.25
1108,33.25,40.25
1109,33.75,40.25
1110,34.25,40.25
1111,34.75,40.25
1112,35.25,40.25
1113,35.75,40.25
1114,36.25,40.25
1115,36.75,40.25
1116,37.25,40.25
1117,37.75,40.25
1118,38.25,40.25
1119,38.75,40.25
1120,39.25,40.25
1121,39.75,40.25
1122,40.25,40.25
1123,40.75,40.25
1124,41.25,40.25
1125,41.75,40.25
1126,42.25,40.25
1127,42.75,40.25
1128,43.25,40.25
1129,43.75,40.25
1130,44.25,40.25
1131,44.75,40.25
1132,0.25,40.75
1133,0.75,40.75
1134,8.75,40.75
1135,9.25,40.75
1136,9.75,40.75
1137,15.75,40.75
1138,16.25,40.75
1139,16.75,40.75
1140,17.25,40.75
1141,17.75,40.75
1142,20.25,40.75
1143,20.75,40.75
1144,21.25,40.75
1145,21.75,40.75
1146,22.25,40.75
1147,22.75,40.75
1148,23.75,40.75
1149,27.25,40.75
1150,29.25,40.75
1151,29.75,40.75
1152,30.25,40.75
1153,30.75,40.75
1154,31.25,40.75
1155,31.75,40.75
1156,32.25,40.75
1157,32.75,40.75
1158,33.25,40.75
1159,33.75,40.75
1160,34.25,40.75
1161,34.75,40.75
1162,35.25,40.75
1163,35.75,40.75
1164,36.25,40.75
1165,36.75,40.75
1166,37.25,40.75
1167,37.75,40.75
1168,38.25,40.75
1169,38.75,40.75
1170,39.25,40.75
1171,39.75,40.75
1172,40.25,40.75
1173,40.75,40.75
1174,41.25,40.75
1175,41.75,40.75
1176,42.25,40.75
1177,42.75,40.75
1178,43.25,40.75
1179,43.75,40.75
1180,44.25,40.75
1181,44.75,40.75
1182,0.25,41.25
1183,0.75,41.25
1184,1.25,41.25
1185,14.75,41.25
1186,15.25,41.25
1187,15.75,41.25
1188,16.25,41.25
