STARTcounty,area,pla,NrGentry,latitude,longitude,valordummy,mill,lLStax_pc,perc_catholics_1800,cutoff1,cutoff2
BERKSHIRE,12.289382,EAST ILSLEY,0,449232.13,180910.25,0,0,0,0,4,4
BERKSHIRE,15.190093,COMPTON,0,452163.88,179955.73,0,0,3.7322981,0,4,4
BERKSHIRE,1.223023375,KENNINGTON,1,452404.13,202108.64,0,0,3.5804276,,4,4
BERKSHIRE,7.5601835,ALDWORTH,0,454830.66,180038.7,1,0,4.3880272,0,4,4
BERKSHIRE,5.690673,MOULSFORD,1,457732.81,182946.67,0,0,3.4706581,0,4,4
BERKSHIRE,14.742153,STREATLEY,2,457796.44,180451.41,1,0,3.8278916,0,4,4
BERKSHIRE,12.696649,BASILDON,0,460038.56,177593.2,0,0,3.9702919,.0012820513,4,4
BERKSHIRE,8.365784,ASHAMPSTEAD,1,457037.94,176551.19,0,0,3.3571022,.00867052,4,4
BERKSHIRE,5.6283755,YATTENDON,0,454637.16,174910.95,0,0,4.1457334,0,4,4
BERKSHIRE,24.445624,HAMPSTEAD NORREYS,0,452071.28,175548.55,0,0,4.0366511,0,4,4
BERKSHIRE,5.4236784453125,SHOTTESBROOK,0,486309.06,178920.53,1,0,3.4446826,,4,4
BERKSHIRE,14.313722,BINFIELD,2,484979.81,171821.98,0,0,3.1714532,.021834061,4,4
BERKSHIRE,6.7478365,CHIEVELEY,0,447228.28,174309.55,0,0,3.6531289,0,4,4
BERKSHIRE,6.091706,OARE,0,449629.63,174554.61,0,0,0,,4,4
BERKSHIRE,5.2456095,CURRIDGE,1,449097.72,172306.39,0,0,3.583519,,4,4
BERKSHIRE,3.51579875,SNELSMORE,1,447310.41,171592.83,0,0,0,,4,4
BERKSHIRE,8.616332999999999,WINTERBOURNE,0,445340.34,172801.89,0,0,3.8281581,0,4,4
BERKSHIRE,7.179911,LECKHAMPSTEAD,0,443866.41,176333.45,0,0,4.5296626,0,4,4
BERKSHIRE,11.358001,BOXFORD,1,443252.81,172019.28,0,0,3.4179394,0,4,4
BERKSHIRE,20.988776,WELFORD,2,440680.72,172361.59,0,0,3.3408253,0,4,4
BERKSHIRE,4.308312,EAST SHEFFORD,0,438783,174390.53,0,0,3.2708356,,4,4
BERKSHIRE,9.066262999999999,WEST SHEFFORD,0,437777.78,175080.09,1,0,4.2098708,.04313099,4,4
BERKSHIRE,2.57252175,HUNGERFORD,3,434871.34,167843.69,1,0,0,0,4,4
BERKSHIRE,10.60805,RADLEY,0,452220.88,199277.61,0,0,4.4337559,0,4,4
BERKSHIRE,.86409709375,ST HELEN,0,452186.06,197208.36,0,0,4.5933042,0,4,4
BERKSHIRE,5.6993855,"EDINGTON, HIDDEN AND NEWTOWN",1,435159.94,170900.38,0,0,3.6194165,0,4,4
BERKSHIRE,5.0939235,SANDEN FEE,1,433408.47,166615.72,0,0,3.5830138,0,4,4
BERKSHIRE,4.826801,AVINGTON,1,436971.13,169760.95,0,0,4.5819016,0,4,4
BERKSHIRE,30.9495435,KINTBURY,0,437969.47,167695.02,1,1,4.6053247,0,4,4
BERKSHIRE,6.82508,SHALBOURNE,0,431629.31,164553.09,1,0,4.4439158,0,4,4
BERKSHIRE,7.646399,OXENWOOD,0,430824.75,159656.53,0,0,0,,4,4
BERKSHIRE,11.20746131054688,INKPEN,2,436318.19,168163.88,0,0,3.8201907,0,4,4
BERKSHIRE,5.9036415,WEST WOODHAY,0,439092.44,163011.81,0,0,4.1309671,0,4,4
BERKSHIRE,7.4597655,HAMSTEAD MARSHALL,0,441397.19,165848.83,0,0,3.7637112,0,4,4
BERKSHIRE,9.771751,ENBOURNE,1,444176.5,165186.75,0,0,3.4165549,0,4,4
BERKSHIRE,15.598577,SPEEN,2,444091.94,168297.06,0,0,5.4487634,.0021834061,4,4
BERKSHIRE,6.41694,SHIPPON,0,448034.66,197827.44,0,0,3.9241712,0,4,4
BERKSHIRE,8.1096705,SHAW,1,447346.56,169650.86,1,0,4.4958115,,4,4
BERKSHIRE,5.01881,NEWBURY,4,446386.91,165575.47,1,0,4.3305631,.0025172008,4,4
BERKSHIRE,2.1606625,SANDLEFORD PRIORY,2,447051.81,164540.14,0,0,0,0,4,4
BERKSHIRE,31.65793,THATCHAM,3,451767.47,167092.61,0,1,0,.00079936051,4,4
BERKSHIRE,10.255634,GREENHAM,3,449077,165414.39,0,0,3.3299699,.0018850141,4,4
BERKSHIRE,5.7997475,MIDGHAM,1,455643.5,167097.06,0,0,0,.0057306592,4,4
BERKSHIRE,6.915167,BRIMPTON,2,456177.03,164495.44,0,0,3.4714017,.055555556,4,4
BERKSHIRE,2.7673975,WASING,0,457640.56,164289.2,1,0,2.9098933,,4,4
BERKSHIRE,15.248540625,ALDERMASTON,1,459779.47,167758.34,1,0,4.4964552,.0020000001,4,4
BERKSHIRE,7.4040442578125,BEENHAM,2,461084.88,168529.42,0,0,3.7211013,.06666667,4,4
BERKSHIRE,2.84699,WOOLHAMPTON,0,457710,167172.98,0,0,0,,4,4
BERKSHIRE,21.50544482177735,BUCKLEBURY,0,456751.38,172889.63,1,0,2.9561849,.20847811,4,4
BERKSHIRE,2.852632,MARLESTON,1,453278.44,171894.53,0,0,0,,4,4
BERKSHIRE,3.99181825,FRILSHAM,0,454481,173574.81,0,0,2.7001762,0,4,4
BERKSHIRE,3.786411417480469,STANFORD DINGLEY,0,456883.41,172482.17,0,0,3.7671454,,4,4
BERKSHIRE,17.741898,BRADFIELD,3,459437,172910.75,0,0,4.5074348,.088912137,4,4
BERKSHIRE,3.1543085,TIDMARSH,1,463142,174552.44,0,0,4.1078887,0,4,4
BERKSHIRE,5.716107818359375,ENGLEFIELD,0,464572.19,171952.08,0,0,5.0494046,0,4,4
BERKSHIRE,5.00963719921875,PADWORTH,1,461502.38,167840.16,0,0,3.1823549,.25641027,4,4
BERKSHIRE,3.04473775,CHOLSWELL,0,447207.06,199862.14,0,0,4.1805224,,4,4
BERKSHIRE,1.411771125,NORTHCOURT,1,450814.28,198757.8,0,0,0,,4,4
BERKSHIRE,8.74629,UFTON NERVET,0,462294.78,167923.13,0,0,0,0,4,4
BERKSHIRE,2.11829375,GRAZELEY,0,468695.41,167723.59,0,0,0,,4,4
BERKSHIRE,2.3436145,SULHAMPSTEAD BANNISTER - UPPER END,0,463602.03,168805.13,0,0,3.4247279,,4,4
BERKSHIRE,2.29036575,SULHAMPSTEAD BANNISTER - LOWER END,1,468256.19,166467.59,0,0,0,0,4,4
BERKSHIRE,17.340262,BURGHFIELD,2,466887.44,169272.91,0,0,3.7493286,0,4,4
BERKSHIRE,16.407584,TILEHURST,1,467175.31,173480.73,0,0,3.7663548,0,4,4
BERKSHIRE,5.4502405,THEALE,2,464122.03,171685.31,0,0,0,,4,4
BERKSHIRE,3.0632323125,SULHAM,2,465186.59,176086.94,1,0,4.1450567,0,4,4
BERKSHIRE,.70468848046875,WHITCHURCH,0,465203.03,177076.69,0,0,0,,4,4
BERKSHIRE,3.535325153320313,PURLEY,4,465854.22,176433.94,0,0,0,,4,4
BERKSHIRE,.017690224609375,SALTNEY MEADS,0,464498.34,177066.73,0,0,0,,4,4
BERKSHIRE,1.311713625,BARTON,1,450530.75,197795.34,0,0,0,0,4,4
BERKSHIRE,5.544663,ST MARY READING,0,470473.19,173103.34,1,1,0,.0022065314,4,4
BERKSHIRE,2.044067125,SOUTHCOTE,0,469079,171627.16,0,0,0,,4,4
BERKSHIRE,1.257823375,ST LAWRENCE READING,0,471958.91,173935.83,0,1,0,.0032114624,4,4
BERKSHIRE,2.533668,ST GILES READING,0,472258.81,172831.05,0,1,0,0,4,4
BERKSHIRE,8.991153000000001,WHITLEY,0,471844,170578.56,0,0,0,,4,4
BERKSHIRE,9.859556250000001,SHINFIELD,2,473044.34,167965.41,0,0,3.8608968,.0041279672,4,4
BERKSHIRE,6.209607,HARTLEY DUMMER,3,470094.28,168129.2,0,0,3.7808309,.005509642,4,4
BERKSHIRE,2.346777,DIDNAM,0,470819.38,166788.8,0,0,0,,4,4
BERKSHIRE,7.04162,SWALLOWFIELD WEST,0,471671.94,164411.09,0,0,2.4567358,0,4,4
BERKSHIRE,1.9316425,FARLEY,0,475460.72,164698.56,0,0,0,,4,4
BERKSHIRE,6.187605,SWALLOWFIELD EAST,0,473815.63,164783.28,0,0,4.1934357,,4,4
BERKSHIRE,.1850228125,PUMNEY,0,452949.72,197686.8,0,0,0,,4,4
BERKSHIRE,3.89701875,BEECH HILL,0,469768.94,164559.97,0,0,3.4817705,0,4,4
BERKSHIRE,12.374437,STRATFIELD MORTIMER,0,466812.81,164309.45,1,0,3.6949124,0,4,4
BERKSHIRE,2.732468057617187,WOKEFIELD,0,467040.78,166810.16,0,0,0,0,4,4
BERKSHIRE,5.964184,ARBORFIELD,2,475226.47,166786.27,1,0,3.404289,.0037313432,4,4
BERKSHIRE,4.6988025,NEWLAND,0,476609.53,168349.48,0,0,0,0,4,4
BERKSHIRE,8.247074,WINNERSH,0,477970.69,170844.97,0,0,0,0,4,4
BERKSHIRE,7.933653578125,WHISTLEY,1,479575.34,177189.7,0,0,2.6931245,0,4,4
BERKSHIRE,6.9686850625,BROAD HINTON,0,480431.78,176744.06,0,0,0,0,4,4
BERKSHIRE,8.673712,WOKINGHAM,0,481734.75,170579.84,1,0,4.4718943,,4,4
BERKSHIRE,25.468668453125,WOKINGHAM SOUTH,0,481277.97,167366.7,0,0,0,0,4,4
BERKSHIRE,3.28735725,SEACOURT,0,447898.31,207479.92,0,0,0,0,4,4
BERKSHIRE,.858360125,ABINGDON ST NICHOLAS,4,450309.56,201633.34,1,0,0,.027257239,4,4
