STARTcounty,agr_share_1831,NrGentry,mills,copyhold_count_1850,market_1600,valordummy,mill,perc_catholics_1800,ind_share_1831
BERKSHIRE,.70731705,1,0,,,1,0,0,.048780486
BERKSHIRE,.78873241,0,0,,,0,0,0,.028169014
BERKSHIRE,.85714287,0,0,,,0,0,0,.095238097
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.75862068,0,0,,,0,0,0,.18965517
BERKSHIRE,.64444447,1,0,,,0,0,0,.18888889
BERKSHIRE,.7079646,1,0,,,0,0,0,.2300885
BERKSHIRE,.68333334,0,0,,,0,0,0,.21666667
BERKSHIRE,.80821919,0,0,,,0,0,0,.1369863
BERKSHIRE,.70833331,1,0,,0,0,0,0,.072916664
BERKSHIRE,.65734267,2,0,,,1,0,.039215688,.11888112
BERKSHIRE,.93333334,3,0,,,0,0,0,0
BERKSHIRE,.48083067,3,0,,1,0,0,.0010993038,.34345049
BERKSHIRE,.72368419,0,0,,,0,0,.0098684207,.10526316
BERKSHIRE,.79012346,0,0,,,1,0,0,.13580246
BERKSHIRE,.81632656,0,0,,,0,0,0,.06122449
BERKSHIRE,.6339286,0,0,,,0,0,0,.14285715
BERKSHIRE,.71084338,0,0,,,1,0,0,.14457831
BERKSHIRE,.47142857,2,0,,0,1,0,0,.30952382
BERKSHIRE,.8125,0,0,,,1,0,0,.09375
BERKSHIRE,1,1,0,,,0,0,0,0
BERKSHIRE,1,1,0,,,0,0,0,0
BERKSHIRE,1,0,0,,,0,0,0,0
BERKSHIRE,.83941609,1,0,,,1,0,0,.13138686
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,1,0,0,,,0,0,0,0
BERKSHIRE,1,1,0,,,0,0,0,0
BERKSHIRE,.81818181,1,0,,,0,0,0,.090909094
BERKSHIRE,1,0,0,,,0,0,0,0
BERKSHIRE,.71276593,0,0,,,1,0,0,.22340426
BERKSHIRE,.82051283,0,0,,,1,0,0,.15384616
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.67346936,0,0,,,0,0,0,.24489796
BERKSHIRE,.93650794,1,0,,,0,0,0,.031746034
BERKSHIRE,.78205127,2,0,,0,0,0,0,.15384616
BERKSHIRE,.50232559,1,0,,0,0,0,.0012300123,.30232558
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,,1,0,,,0,0,,
BERKSHIRE,.66129035,0,0,,,1,0,0,.20967741
BERKSHIRE,.88118809,1,0,,,0,0,.057228915,.059405942
BERKSHIRE,.70642203,0,0,,,0,0,.052777778,.091743119
BERKSHIRE,.91139239,1,0,,,0,0,0,.050632913
BERKSHIRE,.57798165,0,0,3,,0,0,0,.20183486
BERKSHIRE,.62237763,0,0,3,,0,0,0,.28671327
BERKSHIRE,,0,0,3,,1,0,,
BERKSHIRE,1,0,0,3,,0,0,0,0
BERKSHIRE,.47368422,1,0,,,0,0,.0060096155,.25358853
BERKSHIRE,.82499999,1,0,,,0,0,.11627907,.050000001
BERKSHIRE,.94230771,0,0,,,1,0,.023923445,.01923077
BERKSHIRE,.66666669,0,0,5,,1,0,.001447178,.2
BERKSHIRE,.61832058,0,0,,,0,0,.019762846,.23664123
BERKSHIRE,.71511626,0,0,,,0,0,.0087719299,.15116279
BERKSHIRE,.66831684,2,0,,,0,0,0,.23762377
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.77551019,0,0,,,0,0,.011173184,.06122449
BERKSHIRE,.68275863,0,0,,,0,0,.0091407681,.1724138
BERKSHIRE,.94117647,0,0,,,1,0,0,0
BERKSHIRE,.6102941,3,0,4,,0,0,.017301038,.22058824
BERKSHIRE,.66666669,0,0,,,0,0,0,.16666667
BERKSHIRE,.57499999,0,0,,,0,0,0,.125
BERKSHIRE,.12860893,0,0,,1,0,0,.0037950664,.4566929
BERKSHIRE,0,3,0,,,1,0,0,.5
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.80769229,0,0,,,0,0,0,.15384616
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.7011494,0,0,,,1,0,0,.1072797
BERKSHIRE,,2,0,,,0,0,,
BERKSHIRE,.58558559,0,0,,,0,0,.0024390244,.2972973
BERKSHIRE,.77419353,1,0,,,1,0,.002762431,.17204301
BERKSHIRE,.79761904,1,0,,,1,0,0,.13095239
BERKSHIRE,.80132449,1,0,,,0,0,0,.1589404
BERKSHIRE,.64444447,0,0,,,0,0,0,.2888889
BERKSHIRE,.80000001,2,0,,,1,0,0,.06666667
BERKSHIRE,.79255319,0,0,,,1,0,0,.19148937
