STARTcounty,hundred,area,pla,agr_share_1831,NrGentry,mills,fivemilegrid_id,tenmilegrid_id,copyhold_count_1850,market_1600,valordummy,mill,lLStax_pc,perc_catholics_1800,ind_share_1831,North_South,East_West
BEDFORDSHIRE,FLITT,5.238495125,HIGHAM GOBION,.8888889,0,0,4652,1182,,,1,0,4.8202815,0,0,0,1
BEDFORDSHIRE,FLITT,12.2968305,LIMBURY AND BISCOT,,0,0,4443,1130,2,,1,0,4.2865572,,,0,1
BEDFORDSHIRE,FLITT,17.407994,STOPSLEY,,1,0,4444,1130,1,,0,0,0,,,0,1
BEDFORDSHIRE,FLITT,7.618908,EAST HYDE,,0,0,4340,1078,1,,0,0,3.0903835,,,0,1
BEDFORDSHIRE,FLITT,9.988903000000001,WEST HYDE,.63157892,0,0,4340,1078,1,,0,0,3.9095199,0,.10526316,0,1
BEDFORDSHIRE,FLITT,10.235814,LUTON,.38453916,4,0,4339,1078,1,1,1,0,3.9638989,0,.36273539,0,1
BEDFORDSHIRE,FLITT,4.4795395,LEAGRAVE,.77976191,0,0,4443,1130,1,,1,0,2.8936343,0,.10119048,0,1
BEDFORDSHIRE,FLITT,8.797801,SUNDON,.83333331,0,0,4547,1130,,0,1,0,3.4085774,0,.15555556,0,1
BEDFORDSHIRE,FLITT,6.4752865,CADDINGTON,.62330621,0,0,4339,1078,,,1,0,3.9272013,0,.30894309,0,1
BEDFORDSHIRE,STODDEN,9.221156000000001,BOLNHURST,.80327868,1,0,5171,1286,,,1,0,0,0,.14754099,0,1
BEDFORDSHIRE,MANSHEAD,1.089335625,HOUGHTON REGIS,,0,0,4339,1078,,,1,0,0,,,0,1
BEDFORDSHIRE,MANSHEAD,1.866743875,DUNSTABLE,.19522777,2,0,4442,1129,,1,1,0,0,0,.37960956,0,1
BEDFORDSHIRE,MANSHEAD,9.792752,CHALGRAVE,.76595747,0,0,4546,1129,,,0,0,3.9615548,0,.18617021,0,1
BEDFORDSHIRE,MANSHEAD,5.022093,TILSWORTH,.91176468,0,0,4441,1129,,,0,0,2.9375503,0,.088235296,0,1
BEDFORDSHIRE,MANSHEAD,4.132522,HOCKLIFFE,.4214876,0,0,4545,1129,,,1,0,0,0,.28925619,0,1
BEDFORDSHIRE,MANSHEAD,9.532265000000001,HEATH AND REACH,.72307694,1,0,4544,1128,8,,0,0,0,0,.21538462,0,1
BEDFORDSHIRE,MANSHEAD,9.84061,LEIGHTON BUZZARD,.38431373,0,0,4440,1128,181,1,1,0,3.2491536,0,.351634,0,1
BEDFORDSHIRE,MANSHEAD,5.402489,EGGINGTON,.78313255,1,0,4441,1129,5,,0,0,3.3562,0,.096385539,0,1
BEDFORDSHIRE,MANSHEAD,5.9785085,STANBRIDGE,.75728154,1,0,4441,1129,5,,1,0,3.2976871,0,.17475729,0,1
