STARTcounty,area,pla,latitude,longitude,valordummy,LS_pc_change,pc_change1525_1086,pc_change1525_1066,pc_change1332_1086,pc_change1332_1066,pc_change1086_1066,cutoff1,cutoff2
BERKSHIRE,8.365784,ASHAMPSTEAD,457037.94,176551.19,-.69258142,-.32366696,-.1100229,-.047183745,.060360838,-.10911187,-.14073169,4,4
BERKSHIRE,5.6283755,YATTENDON,454637.16,174910.95,-.69258142,-.10504478,,,,,,4,4
BERKSHIRE,24.445624,HAMPSTEAD NORREYS,452071.28,175548.55,-.69258142,-.19386731,-.091924816,-.040178228,-.068425603,-.11763149,-.10512698,4,4
BERKSHIRE,5.4236784453125,SHOTTESBROOK,486309.06,178920.53,1.443785,-.30287272,,,,,,4,4
BERKSHIRE,14.313722,BINFIELD,484979.81,171821.98,-.69258142,-.31189516,,,,,,4,4
BERKSHIRE,6.7478365,CHIEVELEY,447228.28,174309.55,-.69258142,-.094294928,.012379368,-.040845759,.018692655,-.14852807,-.15471925,4,4
BERKSHIRE,6.091706,OARE,449629.63,174554.61,-.69258142,,,,,,,4,4
BERKSHIRE,5.2456095,CURRIDGE,449097.72,172306.39,-.69258142,-.27813116,,,,,,4,4
BERKSHIRE,3.51579875,SNELSMORE,447310.41,171592.83,-.69258142,,-.16540518,-.05233968,,,-.10716154,4,4
BERKSHIRE,8.616332999999999,WINTERBOURNE,445340.34,172801.89,-.69258142,-.18576725,-.094121218,-.043491229,-.077303119,-.1434928,-.12547253,4,4
BERKSHIRE,7.179911,LECKHAMPSTEAD,443866.41,176333.45,-.69258142,.046561442,-.02216794,-.012834779,-.080320798,-.072720565,-.050893389,4,4
BERKSHIRE,11.358001,BOXFORD,443252.81,172019.28,-.69258142,-.31859499,,,,,,4,4
BERKSHIRE,20.988776,WELFORD,440680.72,172361.59,-.69258142,-.28025225,-.10776446,-.045407057,-.024290178,-.12073836,-.1273689,4,4
