STARTcounty,area,pla,latitude,longitude,NrPatents,WheatYield,valordummy,enclosed,lLStax_pc,thresh_machines,cutoff1,cutoff2
BERKSHIRE,2.7673975,WASING,457640.56,164289.2,0,,1,0,2.9098933,0,4,4
BERKSHIRE,15.248540625,ALDERMASTON,459779.47,167758.34,0,,1,1,4.4964552,0,4,4
BERKSHIRE,7.4040442578125,BEENHAM,461084.88,168529.42,0,,0,1,3.7211013,0,4,4
BERKSHIRE,2.84699,WOOLHAMPTON,457710,167172.98,0,26,0,1,0,0,4,4
BERKSHIRE,21.50544482177735,BUCKLEBURY,456751.38,172889.63,0,,1,0,2.9561849,0,4,4
BERKSHIRE,2.852632,MARLESTON,453278.44,171894.53,0,20,0,0,0,0,4,4
BERKSHIRE,3.99181825,FRILSHAM,454481,173574.81,0,20,0,1,2.7001762,0,4,4
BERKSHIRE,3.786411417480469,STANFORD DINGLEY,456883.41,172482.17,0,26,0,0,3.7671454,0,4,4
BERKSHIRE,17.741898,BRADFIELD,459437,172910.75,0,,0,0,4.5074348,0,4,4
BERKSHIRE,3.1543085,TIDMARSH,463142,174552.44,0,20,0,0,4.1078887,0,4,4
BERKSHIRE,5.716107818359375,ENGLEFIELD,464572.19,171952.08,0,28,0,1,5.0494046,0,4,4
BERKSHIRE,5.00963719921875,PADWORTH,461502.38,167840.16,0,22,0,1,3.1823549,1,4,4
BERKSHIRE,3.04473775,CHOLSWELL,447207.06,199862.14,0,,0,0,4.1805224,0,4,4
BERKSHIRE,1.411771125,NORTHCOURT,450814.28,198757.8,0,,0,1,0,0,4,4
BERKSHIRE,8.74629,UFTON NERVET,462294.78,167923.13,0,,0,1,0,0,4,4
BERKSHIRE,2.11829375,GRAZELEY,468695.41,167723.59,0,,0,0,0,0,4,4
BERKSHIRE,2.3436145,SULHAMPSTEAD BANNISTER - UPPER END,463602.03,168805.13,0,,0,0,3.4247279,0,4,4
BERKSHIRE,2.29036575,SULHAMPSTEAD BANNISTER - LOWER END,468256.19,166467.59,0,,0,1,0,0,4,4
BERKSHIRE,17.340262,BURGHFIELD,466887.44,169272.91,0,,0,1,3.7493286,0,4,4
BERKSHIRE,16.407584,TILEHURST,467175.31,173480.73,0,,0,1,3.7663548,0,4,4
BERKSHIRE,5.4502405,THEALE,464122.03,171685.31,0,,0,0,0,0,4,4
BERKSHIRE,3.0632323125,SULHAM,465186.59,176086.94,0,24,1,1,4.1450567,0,4,4
BERKSHIRE,.70468848046875,WHITCHURCH,465203.03,177076.69,0,28,0,1,0,0,4,4
BERKSHIRE,3.535325153320313,PURLEY,465854.22,176433.94,0,24,0,1,0,0,4,4
BERKSHIRE,.017690224609375,SALTNEY MEADS,464498.34,177066.73,0,,0,1,0,0,4,4
BERKSHIRE,1.311713625,BARTON,450530.75,197795.34,0,,0,0,0,0,4,4
BERKSHIRE,5.544663,ST MARY READING,470473.19,173103.34,3,28,1,0,0,0,4,4
BERKSHIRE,2.044067125,SOUTHCOTE,469079,171627.16,0,,0,0,0,0,4,4
BERKSHIRE,1.257823375,ST LAWRENCE READING,471958.91,173935.83,0,,0,0,0,0,4,4
BERKSHIRE,2.533668,ST GILES READING,472258.81,172831.05,0,28,0,0,0,0,4,4
BERKSHIRE,8.991153000000001,WHITLEY,471844,170578.56,0,,0,1,0,0,4,4
BERKSHIRE,9.859556250000001,SHINFIELD,473044.34,167965.41,0,24,0,1,3.8608968,0,4,4
BERKSHIRE,6.209607,HARTLEY DUMMER,470094.28,168129.2,0,,0,0,3.7808309,0,4,4
BERKSHIRE,2.346777,DIDNAM,470819.38,166788.8,0,24,0,1,0,0,4,4
BERKSHIRE,7.04162,SWALLOWFIELD WEST,471671.94,164411.09,0,,0,1,2.4567358,0,4,4
BERKSHIRE,1.9316425,FARLEY,475460.72,164698.56,0,,0,0,0,0,4,4
BERKSHIRE,6.187605,SWALLOWFIELD EAST,473815.63,164783.28,0,,0,0,4.1934357,0,4,4
BERKSHIRE,.1850228125,PUMNEY,452949.72,197686.8,0,,0,0,0,0,4,4
BERKSHIRE,3.89701875,BEECH HILL,469768.94,164559.97,0,,0,1,3.4817705,0,4,4
BERKSHIRE,12.374437,STRATFIELD MORTIMER,466812.81,164309.45,0,22,1,0,3.6949124,0,4,4
BERKSHIRE,2.732468057617187,WOKEFIELD,467040.78,166810.16,0,,0,0,0,0,4,4
BERKSHIRE,5.964184,ARBORFIELD,475226.47,166786.27,0,22,1,0,3.404289,0,4,4
BERKSHIRE,4.6988025,NEWLAND,476609.53,168349.48,0,,0,0,0,0,4,4
BERKSHIRE,8.247074,WINNERSH,477970.69,170844.97,0,,0,1,0,0,4,4
BERKSHIRE,7.933653578125,WHISTLEY,479575.34,177189.7,0,,0,1,2.6931245,0,4,4
