city,latitude,longitude,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,pop1550,pop1600,pop1650,pop1700,pop1750,pop1800,pop1850,11to13,13to15,1500to1550,1550to1600,16to18,150pre,150post,lnInc201,netInc201,lnInc501,netInc501,lnInc1001,netInc1001,1
Sandwich,51.2747,1.3389,0,0,1,1,1,1,1,2,2,2,3,4,5,,0,0,1,1,0,1,4.144279003,227.6260529,40.19210815,3526.216797,87.49217987,6125.118652,26.27395058
Scarborough,54.2773,-0.4017,1,1,1,2,1,1,2,2,3,4,5,6,13,1,-0.5,1,0,2,1,1,5.074532032,63.95207596,25.34093094,892.2641602,126.6829681,5115.745605,17.88295746
Sedgley,52.54,-2.123,1,1,1,1,1,1,1,2,2,2,4,10,30,0,0,0,1,4,0,1,5.90424633,145.219635,49.33772659,1575.310791,236.0805359,10416.64258,87.83255768
Sheffield,53.3833,-1.4667,0,1,1,1,2,2,3,3,3,3,12,46,135,0,1,0.5,0,14.33333333,0.5,0,4.149477482,109.9492493,36.98040009,1305.695923,198.1790161,6662.926758,68.66581726
Shepton Mallet,51.193,-2.546,0,1,1,2,1,1,1,1,1,2,3,5,5,1,-0.5,0,0,4,0,1,7.631090641,1354.350952,65.81750488,6116.028809,191.7955017,13044.14844,47.26791
Shrewsbury,52.708,-2.754,2,2,3,3,4,4,5,5,6,7,8,15,20,0.5,0.333333333,0.25,0,2,0.25,0.4,11.99328327,778.8770752,40.58387756,1634.037964,123.6893539,5025.746582,58.80352402
Slough,51.51,-0.59,0,0,1,1,1,1,1,1,1,1,1,1,4,,0,0,0,0,0,0,11.26387119,322.0445557,99.52419281,9305.990234,304.1843567,24695.99023,191.0988922
South Shields,54.995,-1.43,1,1,1,1,1,2,3,4,5,6,8,11,29,0,1,0.5,0.333333333,1.75,2,1,13.53534031,453.8060913,29.07884598,1368.70752,70.86560059,2951.898438,20.65276337
Southampton,50.9,-1.4,1,1,2,3,2,3,3,4,3,3,3,8,35,2,0,0,0.333333333,1,0.5,0,18.97098541,677.1990356,65.78768921,3927.295654,154.3000793,8336.255859,40.53766251
Stafford,52.8066,-2.1171,1,1,1,1,1,1,1,1,1,2,3,4,12,0,0,0,0,3,0,1,11.14342117,270.4611511,47.47902679,1225.425903,197.8132172,7301.641113,89.06316376
Stockport,53.4083,-2.1494,0,0,1,1,1,1,1,1,1,2,3,20,54,,0,0,0,19,0,1,0.598954737,3.730033875,8.679416656,311.4723816,110.9108429,4016.428955,77.3607254
Stroud,51.744,-2.215,0,0,0,0,0,0,0,0,1,2,3,5,9,,,,,,,,10.24043274,807.3707886,65.56797791,5577.155273,217.3105621,15056.79297,44.73084641
Sunderland,54.9061,-1.3811,0,1,1,1,1,2,3,3,4,5,10,24,65,0,1,0.5,0,7,2,0.666666667,9.775119781,245.0198059,28.40596008,1576.682861,79.05851746,3380.144531,21.37072563
Sutton Coldfield,52.563,-1.822,0,1,1,1,1,1,1,2,2,2,2,3,5,0,0,0,1,0.5,0,1,2.203438997,48.82857895,68.52409363,2395.916504,261.8782349,10888.21289,87.85923767
Taunton,51.019,-3.1,2,2,2,2,1,3,3,2,2,2,3,5,10,0,0.5,0,-0.333333333,1.5,2,-0.333333333,13.31269169,574.5614624,52.62820053,3386.273926,140.4869537,8997.080078,38.08507919
