name,order,landIncMean,titheIncMean,millIncMean,feeIncMean,almsIncMean,infraIncMean,transferIncMean,courtIncMean,annuityIncMean,educationIncMean,synProxIncMean,glebeIncMean,woodIncMean,unknownIncMean,landExpMean,titheExpMean,millExpMean,feeExpMean,almsExpMean,infraExpMean,transferExpMean,courtExpMean,annuityExpMean,educationExpMean,synProxExpMean,glebeExpMean,woodExpMean,unknownExpMean,year,region,totalInc,totalExp,netInc,depHouse,latitude,longitude,incomplete,landIncSum,titheIncSum,millIncSum,feeIncSum,almsIncSum,infraIncSum,transferIncSum,courtIncSum,annuityIncSum,educationIncSum,synProxIncSum,glebeIncSum,woodIncSum,unknownIncSum,landExpSum,titheExpSum,millExpSum,feeExpSum,almsExpSum,infraExpSum,transferExpSum,courtExpSum,annuityExpSum,educationExpSum,synProxExpSum,glebeExpSum,woodExpSum,unknownExpSum
"St Mary's Abbey, York",Benedictine,751.2454545454545,2324.815789473684,365.0,,,15509.0,927.8461538461538,138.0,,,,,,1478.0,-53.2,,,-810.6274509803922,-6451.625,-64.0,-8000.0,,-1842.0,,,,,-1200.0,1539.0,5.0,501895.0,-105811.0,396084.0,,53.961389,-1.088056,0.0,123955.5,88343.0,1460.0,0.0,0.0,15509.0,24124.0,276.0,0.0,0.0,0.0,0.0,0.0,1478.0,-532.0,0.0,0.0,-41342.0,-51613.0,-64.0,-8000.0,0.0,-7368.0,0.0,0.0,0.0,0.0,-1200.0
"St Mary's Priory, Thetford Priory",Benedictine,2686.7413793103447,1379.7142857142858,,,,,154.28571428571428,12.0,,,,,,3570.0,-435.16129032258067,,,-381.5,-2040.0,,-388.46153846153845,-13.625,-1095.0,,-104.0,,,-7.0,1540.0,1.0,,,75052.5,,52.4165,0.742382,0.0,77915.5,9658.0,0.0,0.0,0.0,0.0,2160.0,12.0,0.0,0.0,0.0,0.0,0.0,10710.0,-13490.0,0.0,0.0,-3052.0,-2040.0,0.0,-5050.0,-109.0,-1095.0,0.0,-208.0,0.0,0.0,-7.0
St Radegund's Abbey,Premonstratensian,752.28125,386.6666666666667,,,,,86.0,120.0,,,,,,1684.0,-173.41304347826087,,,-448.0,-264.0,,-392.0,,,,,,,-354.0,1536.0,2.0,34185.0,-10542.5,23630.5,,51.13184499999999,1.250762,0.0,24073.0,1160.0,0.0,0.0,0.0,0.0,172.0,120.0,0.0,0.0,0.0,0.0,0.0,8420.0,-3988.5,0.0,0.0,-2240.0,-264.0,0.0,-3136.0,0.0,0.0,0.0,0.0,0.0,0.0,-354.0
St Werburgh's Abbey,Benedictine,2563.4596774193546,3989.2,,,,,3179.0,,,,,1693.0,,8613.333333333334,-632.1,,,-465.0,,,-545.7142857142857,,,,,,,-84.0,1538.0,4.0,257731.5,-7192.0,240791.0,,53.19188199999999,-2.890539,0.0,158934.5,19946.0,0.0,0.0,0.0,0.0,3179.0,0.0,0.0,0.0,0.0,1693.0,0.0,25840.0,-3160.5,0.0,0.0,-7440.0,0.0,0.0,-3820.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.0
St. Denys Priory,Augustinian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1536.0,3.0,21948.0,-2610.0,19338.0,,50.92516,-1.38085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stixwould Priory Benedictines,Benedictine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537.0,4.0,,,36480.0,,53.178692,-0.247281,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stixwould Priory Cistercians,Cistercian,1476.8809523809523,1313.3333333333333,,,,,240.0,,,,,,,,-80.0,,,-323.0769230769231,-377.3333333333333,,-664.5714285714286,,,,-184.0,,,-120.0,1536.0,4.0,39134.5,-11712.0,27422.5,,53.178692,-0.247281,0.0,31014.5,7880.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0,-4200.0,-1132.0,0.0,-4652.0,0.0,0.0,0.0,-736.0,0.0,0.0,-240.0
Stonely Priory,Augustinian,456.55263157894734,5841.0,192.0,,,,,,,,,,,,-805.0,,,-386.6666666666667,,,-400.0,,,,-186.0,,,-226.0,1536.0,1.0,15027.5,-3982.0,11045.5,,52.295,-0.368,0.0,8674.5,5841.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1610.0,0.0,0.0,-1160.0,0.0,0.0,-800.0,0.0,0.0,0.0,-186.0,0.0,0.0,-226.0
"Studley Priory, Oxfordshire",Benedictine,675.3333333333334,237.6818181818182,80.0,,,,80.0,120.0,,,,,,762.25,-74.33333333333333,,,-209.77777777777777,,,-473.0,,,,-127.75,,,,1539.0,2.0,24559.0,-4826.75,19732.25,,51.805448,-1.13464,0.0,20260.0,2614.5,80.0,0.0,0.0,0.0,80.0,240.0,0.0,0.0,0.0,0.0,0.0,1524.5,-446.0,0.0,0.0,-1888.0,0.0,0.0,-2365.0,0.0,0.0,0.0,-127.75,0.0,0.0,0.0
Swineshead Abbey,Cistercian,1376.44,1832.75,480.0,,,,,,,,,,,3632.75,-94.16666666666667,,,-194.28571428571428,,,-320.0,,,,,,,-12.0,1536.0,4.0,41038.0,1974.5,40263.5,1.0,52.947804,-0.141782,0.0,34411.0,3665.5,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7265.5,-282.5,0.0,0.0,-1360.0,0.0,0.0,-320.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0
"The Charterhouse, Coventry",Carthusian,1291.25,4880.0,,,,,488.0,,,,,,,,-40.0,,,-540.0,-1893.5,,-579.9,,,,-111.16666666666667,,,,1539.0,4.0,60309.0,-28793.0,31516.0,,52.401021,-1.494839,0.0,5165.0,53680.0,0.0,0.0,0.0,0.0,1464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.0,0.0,0.0,-1080.0,-11361.0,0.0,-8698.5,0.0,0.0,0.0,-333.5,0.0,0.0,0.0
The Temple Preceptory,Augustinian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540.0,2.0,,,39024.0,,51.513203,-0.110486,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thetford Priory (Suffolk side),Augustinian,401.95454545454544,481.5,,,,,560.0,,,,,,,324.0,-191.11111111111111,,,-320.0,-140.0,,,-19.0,,,-18.0,,,,1536.0,1.0,,,9440.0,,52.4137,0.7406000000000001,0.0,8843.0,1926.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,648.0,-1720.0,0.0,0.0,-640.0,-140.0,0.0,0.0,-19.0,0.0,0.0,-18.0,0.0,0.0,0.0
