,city,year,population,latitude,longitude
1221,Colchester,1300.0,7.0,51.8917,0.903
1222,Colchester,1400.0,4.0,51.8917,0.903
1223,Colchester,1500.0,5.0,51.8917,0.903
1224,Colchester,1550.0,6.0,51.8917,0.903
1225,Colchester,1600.0,8.0,51.8917,0.903
1226,Colchester,1650.0,9.0,51.8917,0.903
1227,Colchester,1700.0,10.0,51.8917,0.903
1228,Colchester,1750.0,9.0,51.8917,0.903
1229,Colchester,1800.0,12.0,51.8917,0.903
1230,Colchester,1850.0,19.0,51.8917,0.903
1231,Colchester,1900.0,38.0,51.8917,0.903
1232,Colchester,1950.0,63.0,51.8917,0.903
1233,Colchester,2000.0,104.0,51.8917,0.903
1245,Congleton,700.0,0.0,53.162,-2.217
1246,Congleton,800.0,0.0,53.162,-2.217
1247,Congleton,900.0,0.0,53.162,-2.217
1248,Congleton,1000.0,0.0,53.162,-2.217
1249,Congleton,1100.0,1.0,53.162,-2.217
1250,Congleton,1200.0,1.0,53.162,-2.217
1251,Congleton,1300.0,1.0,53.162,-2.217
1252,Congleton,1400.0,1.0,53.162,-2.217
1253,Congleton,1500.0,2.0,53.162,-2.217
1254,Congleton,1550.0,2.0,53.162,-2.217
1255,Congleton,1600.0,2.0,53.162,-2.217
1256,Congleton,1650.0,3.0,53.162,-2.217
1257,Congleton,1700.0,3.0,53.162,-2.217
1258,Congleton,1750.0,3.0,53.162,-2.217
1259,Congleton,1800.0,4.0,53.162,-2.217
1260,Congleton,1850.0,11.0,53.162,-2.217
1261,Congleton,1900.0,11.0,53.162,-2.217
1262,Congleton,1950.0,17.0,53.162,-2.217
