name,diocese,town,region,order,typeHouse,members,year,latitude,longitude,mother hou,NAnetInc,lnInc,survival,bigOrder,smallOrder,bigHouse,smallHouse,rebel,distLond,ladyHouse,ladyInc,county,founded,foundedSource
Launceston Priory,,Newport,8,Augustinian,,Canons,1538,50.636425,-4.355307,,354,5.869296913,2,1,0,1,0,0,4.326321352,0,0,CORNWALL,,
Launde Priory,,Launde,6,Augustinian,Canons Regular,Canons,1539,52.6312,-0.823366,,399,5.988961417,3,1,0,1,0,0,1.324571467,0,0,LEICESTERSHIRE,,
Lavendon Abbey,,Lavendon,9,Premonstratensian,,Canons,1536,51.1695,-0.6683,,79,4.369447852,0,0,1,0,1,0,0.647039636,0,0,SURREY,,
Leeds Priory,,Leeds,9,Augustinian,Canons Regular,Canons,1539,51.247222,0.611111,,362,5.891644212,3,1,0,1,0,0,0.775113514,0,0,KENT,,
Leez Priory,,Little Leighs,7,Augustinian,,Canons,1536,51.839473,0.467235,,114,4.736198448,0,1,0,0,1,0,0.671691536,0,0,ESSEX,,
Legbourne Priory,,,6,Cistercian,,Nuns,1536,53.33744,0.040035,,38,3.63758616,0,1,0,0,1,1,1.834269236,1,38,LINCOLNSHIRE,,
Leicester Abbey,,Leicester,6,Augustinian,Canons Regular,Canons,1538,52.648989,-1.136583,,951,6.857514063,2,1,0,1,0,0,1.527940955,0,0,LEICESTERSHIRE,,
Leicester Austin Friary,,Leicester,6,Augustinian,Austin Friars,Friars,1538,52.634395,-1.143792,,,,2,1,0,0,1,0,1.521942244,0,,LEICESTERSHIRE,,
Leiston Abbey,,Leiston,7,Premonstratensian,,Canons,1537,52.221447,1.578016,,181,5.198497031,1,0,1,0,1,0,1.839284187,0,0,SUFFOLK,,
Lenton Priory,,"Lenton, Nottingham",6,Benedictine,Cluniac,,1538,52.943064,-1.178748,,329,5.796057751,2,1,0,1,0,0,1.782875937,0,0,NOTTINGHAMSHIRE,1108,https://www.medievalists.net/2021/03/lenton-priory/
Leominster Priory,,Leominster,5,Benedictine,,Monks,1539,52.2293,-2.7359,Reading,448,6.104793232,3,1,0,1,0,0,2.714823996,0,0,HEREFORDSHIRE,,
Leonard Stanley Priory,,Leonard Stanley,8,Benedictine,,Monks,1538,51.727711,-2.287545,Gloucester,106,4.663439094,2,1,0,0,1,0,2.180341645,0,0,GLOUCESTERSHIRE,,
Letheringham Priory,,Letheringham,7,Augustinian,,Canons,1537,52.178823,1.315785,SS Peter and Paul Ipswich,26,3.258096538,1,1,0,0,1,0,1.582197964,0,0,SUFFOLK,,
Lewes,,Lewes,9,Franciscan,"Friars Minor, Conventual",Friars,1538,50.87295,0.014682,London,,,2,0,1,0,1,0,0.650740933,0,,SUSSEX,,
Lewes Priory,,Lewes,9,Benedictine,Cluniac,,1537,50.868404,0.008691,,920,6.82437367,1,1,0,1,0,0,0.654004117,0,0,SUSSEX,,
Lilleshall Abbey,,Telford,5,Augustinian,Arrouaisian,Canons,1538,52.7247,-2.3898,,229,5.433722004,2,1,0,1,0,0,2.576066183,0,0,SHROPSHIRE,,
Limebrook Priory,,Lingen,5,Augustinian,,Canonesses,1539,52.288928,-2.919469,,22,3.091042453,3,1,0,0,1,0,2.907644597,1,22,HEREFORDSHIRE,,
