Grid-cell,Longitude,Latitude,pdsi_1535,pdsi_1536,pdsi_1535x1536,pdsi_avg_1yr,pdsi_ext_1yr,pdsi_avg_2yr,pdsi_ext_2yr,pdsi_avg_3yr,pdsi_ext_3yr,pdsi_avg_5yr,pdsi_ext_5yr,pdsi_avg_10yr,pdsi_ext_10yr,bng_x,bng_y
4023,9.75,62.75,-5.271,-4.734,24.952914,4.734,4.734,5.0024999999999995,5.0024999999999995,2.8339999999999996,3.836,1.4758,2.6054,1.9738,2.5386,997731.7777916291,1484903.8018587173
4024,10.25,62.75,-0.298,-0.475,0.14154999999999998,0.475,0.475,0.38649999999999995,0.38649999999999995,0.5876666666666667,0.5876666666666667,0.29479999999999995,0.45360000000000006,0.9644999999999999,1.0439,1022942.3313852209,1489667.8243049332
4025,10.75,62.75,0.805,0.46,0.3703,-0.46,0.46,-0.6325000000000001,0.6325000000000001,-0.48533333333333334,0.48533333333333334,-0.14980000000000002,0.4326,1.2429999999999999,1.5341999999999998,1048124.4517891146,1494631.0600960238
4026,11.25,62.75,-2.521,-1.913,4.822673,1.913,1.913,2.217,2.217,1.8956666666666668,1.8956666666666668,0.8452,1.4296,2.5185000000000004,2.8107,1073276.9118751932,1499793.588282932
4027,11.75,62.75,2.31,2.037,4.70547,-2.037,2.037,-2.1734999999999998,2.1734999999999998,-2.130333333333333,2.130333333333333,-0.784,1.7724000000000004,0.09649999999999995,1.3747,1098398.4766268458,1505155.489433371
4028,12.25,62.75,2.014,1.982,3.9917479999999994,-1.982,1.982,-1.9979999999999998,1.9979999999999998,-1.774,1.774,-0.425,1.7037999999999998,0.4217999999999999,1.4861999999999997,1123487.9028504868,1510716.8454359907
4029,12.75,62.75,-1.002,-0.395,0.39579000000000003,0.395,0.395,0.6985,0.6985,0.2936666666666667,0.6376666666666667,0.5318,0.7382000000000001,1.4558000000000002,1.5590000000000002,1148543.9388897049,1516477.739296584
4030,13.25,62.75,-2.237,-1.5,3.3555,1.5,1.5,1.8685,1.8685,1.3546666666666667,1.3546666666666667,0.8036000000000001,1.2216,1.5615999999999999,1.7706,1173565.324342177,1522438.2549263153
4031,13.75,62.75,1.82,1.229,2.2367800000000004,-1.229,1.229,-1.5245000000000002,1.5245000000000002,-1.534,1.534,-0.46080000000000004,1.3800000000000001,0.3014,1.2218,1198550.789779494,1528598.4769219472
4032,14.25,62.75,-3.723,-5.212,19.404276,5.212,5.212,4.467499999999999,4.467499999999999,3.2546666666666666,3.2546666666666666,1.9658000000000002,2.0382,2.5345,2.6619,1223499.0564700474,1534958.490337997
